"transcript","gene","Gene"
"Peer2.0.1.fasta008605-RA","ARFGEF2"," Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Mus musculus)"
"Peer2.0.1.fasta008606-RA","ARFGEF2"," Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Mus musculus)"
"Peer2.0.1.fasta008608-RA","CSE1L"," Exportin-2 (Pongo abelii)"
"Peer2.0.1.fasta008607-RA","ARFGEF2"," Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Mus musculus)"
"Peer2.0.1.fasta008618-RA","B4GALT5"," Beta-1%2C4-galactosyltransferase 5 (Sus scrofa)"
"Peer2.0.1.fasta008619-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta008613-RA","ZNFX1"," NFX1-type zinc finger-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta008612-RA","ZNFX1"," NFX1-type zinc finger-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta008615-RA","KCNB1"," Potassium voltage-gated channel subfamily B member 1 (Oryctolagus cuniculus)"
"Peer2.0.1.fasta008614-RA","RPL37AP8"," Putative 60S ribosomal protein L37a-like protein (Homo sapiens)"
"Peer2.0.1.fasta008620-RA","SLC9A8"," Sodium/hydrogen exchanger 8 (Homo sapiens)"
"Peer2.0.1.fasta008621-RA","SPATA2"," Spermatogenesis-associated protein 2 (Mus musculus)"
"Peer2.0.1.fasta008623-RA","SNAI1"," Zinc finger protein SNAI1 (Mus musculus)"
"Peer2.0.1.fasta008622-RA","RNF114"," E3 ubiquitin-protein ligase RNF114 (Rattus norvegicus)"
"Peer2.0.1.fasta008624-RA","UBE2V1"," Ubiquitin-conjugating enzyme E2 variant 1 (Bos taurus)"
"Peer2.0.1.fasta008627-RA","CEBPB"," CCAAT/enhancer-binding protein beta (Rattus norvegicus)"
"Peer2.0.1.fasta008625-RA","TMEM189"," Plasmanylethanolamine desaturase (Mus musculus)"
"Peer2.0.1.fasta008626-RA","TMEM189"," Plasmanylethanolamine desaturase (Mus musculus)"
"Peer2.0.1.fasta008628-RA","PTPN1"," Tyrosine-protein phosphatase non-receptor type 1 (Rattus norvegicus)"
"Peer2.0.1.fasta008629-RA","RIPOR3"," RIPOR family member 3 (Mus musculus)"
"Peer2.0.1.fasta008630-RA","ZNHIT6"," Box C/D snoRNA protein 1 (Mus musculus)"
"Peer2.0.1.fasta008631-RA","PARD6B"," Partitioning defective 6 homolog beta (Homo sapiens)"
"Peer2.0.1.fasta008636-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta008632-RA","ADNP"," Activity-dependent neuroprotector homeobox protein (Mus musculus)"
"Peer2.0.1.fasta008634-RA","MOCS3"," Adenylyltransferase and sulfurtransferase MOCS3 (Mus musculus)"
"Peer2.0.1.fasta008633-RA","DPM1"," Dolichol-phosphate mannosyltransferase subunit 1 (Cricetulus griseus)"
"Peer2.0.1.fasta008635-RA","KCNG1"," Potassium voltage-gated channel subfamily G member 1 (Mus musculus)"
"Peer2.0.1.fasta008637-RA","NFATC2"," Nuclear factor of activated T-cells%2C cytoplasmic 2 (Mus musculus)"
"Peer2.0.1.fasta008639-RA","ATP9A"," Probable phospholipid-transporting ATPase IIA (Mus musculus)"
"Peer2.0.1.fasta008638-RA","NFATC2"," Nuclear factor of activated T-cells%2C cytoplasmic 2 (Mus musculus)"
"Peer2.0.1.fasta008642-RA","RAB5A"," Ras-related protein Rab-5A (Canis lupus familiaris)"
"Peer2.0.1.fasta008645-RA","ZNF217"," Zinc finger protein 217 (Homo sapiens)"
"Peer2.0.1.fasta008644-RA","POU5F1"," POU domain%2C class 5%2C transcription factor 1 (Mus musculus)"
"Peer2.0.1.fasta008646-RA","EPG5"," Ectopic P granules protein 5 homolog (Mus musculus)"
"Peer2.0.1.fasta008643-RA","TSHZ2"," Teashirt homolog 2 (Mus musculus)"
"Peer2.0.1.fasta008647-RA","BCAS1"," Breast carcinoma-amplified sequence 1 homolog (Mus musculus)"
"Peer2.0.1.fasta008648-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta008649-RA","PCDHGB5"," Protocadherin gamma-B5 (Homo sapiens)"
"Peer2.0.1.fasta008651-RA","PFDN4"," Prefoldin subunit 4 (Homo sapiens)"
"Peer2.0.1.fasta008650-RA","CYP24A1"," 1%2C25-dihydroxyvitamin D(3) 24-hydroxylase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta008653-RA","DOK5"," Docking protein 5 (Mus musculus)"
"Peer2.0.1.fasta008654-RA","RPL24"," 60S ribosomal protein L24 (Rattus norvegicus)"
"Peer2.0.1.fasta008652-RA",NA,NA
"Peer2.0.1.fasta008655-RA","CBLN4"," Cerebellin-4 (Homo sapiens)"
"Peer2.0.1.fasta008657-RA","FAM210B"," Protein FAM210B%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta008656-RA","MC3R"," Melanocortin receptor 3 (Rattus norvegicus)"
"Peer2.0.1.fasta008663-RA","TFAP2C"," Transcription factor AP-2 gamma (Mus musculus)"
"Peer2.0.1.fasta008661-RA","GCNT7"," Beta-1%2C3-galactosyl-O-glycosyl-glycoprotein beta-1%2C6-N-acetylglucosaminyltransferase 7 (Mus musculus)"
"Peer2.0.1.fasta008662-RA","FAM209A"," Protein FAM209A (Homo sapiens)"
"Peer2.0.1.fasta008665-RA","BMP7"," Bone morphogenetic protein 7 (Homo sapiens)"
"Peer2.0.1.fasta008664-RA","BMP7"," Bone morphogenetic protein 7 (Homo sapiens)"
"Peer2.0.1.fasta008659-RA","CSTF1"," Cleavage stimulation factor subunit 1 (Pongo abelii)"
"Peer2.0.1.fasta008658-RA","AURKA"," Aurora kinase A (Rattus norvegicus)"
"Peer2.0.1.fasta008660-RA","CASS4"," Cas scaffolding protein family member 4 (Mus musculus)"
"Peer2.0.1.fasta008669-RA","CTCFL"," Transcriptional repressor CTCFL (Mus musculus)"
"Peer2.0.1.fasta008671-RA","ZBP1"," Z-DNA-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta008672-RA","PMEPA1"," Protein TMEPAI (Mus musculus)"
"Peer2.0.1.fasta008666-RA","SPO11"," Meiotic recombination protein SPO11 (Mus musculus)"
"Peer2.0.1.fasta008667-RA","RAE1"," mRNA export factor (Pongo abelii)"
"Peer2.0.1.fasta008668-RA","RBM38"," RNA-binding protein 38 (Homo sapiens)"
"Peer2.0.1.fasta008673-RA","RPL29"," 60S ribosomal protein L29 (Mus musculus)"
"Peer2.0.1.fasta008675-RA","UNCHARACTERIZED PROTEIN C20ORF85 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta008674-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta008677-RA","RAB22A"," Ras-related protein Rab-22A (Canis lupus familiaris)"
"Peer2.0.1.fasta008641-RA","SARS1"," Serine--tRNA ligase%2C cytoplasmic (Homo sapiens)"
"Peer2.0.1.fasta008640-RA","ZFP64"," Zinc finger protein 64 (Homo sapiens)"
"Peer2.0.1.fasta008676-RA","ANKRD60"," Ankyrin repeat domain-containing protein 60 (Homo sapiens)"
"Peer2.0.1.fasta008670-RA","PCK1"," Phosphoenolpyruvate carboxykinase%2C cytosolic [GTP] (Rattus norvegicus)"
"Peer2.0.1.fasta008678-RA","VAPB"," Vesicle-associated membrane protein-associated protein B (Rattus norvegicus)"
"Peer2.0.1.fasta008679-RA","APCDD1L"," Protein APCDD1-like (Homo sapiens)"
"Peer2.0.1.fasta008682-RA","GNAS"," Neuroendocrine secretory protein 55 (Mus musculus)"
"Peer2.0.1.fasta008681-RA","NPEPL1"," Probable aminopeptidase NPEPL1 (Mus musculus)"
"Peer2.0.1.fasta008680-RA","STX16"," Syntaxin-16 (Mus musculus)"
"Peer2.0.1.fasta008690-RA","PRELID3B"," PRELI domain containing protein 3B (Cricetulus griseus)"
"Peer2.0.1.fasta008689-RA","ATP5F1E"," ATP synthase subunit epsilon%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta008688-RA","TUBB1"," Tubulin beta-1 chain (Mus musculus)"
"Peer2.0.1.fasta008686-RA","NELFCD"," Negative elongation factor D (Mus musculus)"
"Peer2.0.1.fasta008687-RA","CTSZ"," Cathepsin Z (Rattus norvegicus)"
"Peer2.0.1.fasta008693-RA","PRSS35"," Inactive serine protease 35 (Mus musculus)"
"Peer2.0.1.fasta008691-RA","ZNF831"," Zinc finger protein 831 (Homo sapiens)"
"Peer2.0.1.fasta008692-RA","EDN3"," Endothelin-3 (Mus musculus)"
"Peer2.0.1.fasta008695-RA","PHACTR3"," Phosphatase and actin regulator 3 (Mus musculus)"
"Peer2.0.1.fasta008694-RA","PHACTR3"," Phosphatase and actin regulator 3 (Mus musculus)"
"Peer2.0.1.fasta008696-RA","PHACTR3"," Phosphatase and actin regulator 3 (Mus musculus)"
"Peer2.0.1.fasta008697-RA","SYCP2"," Synaptonemal complex protein 2 (Mus musculus)"
"Peer2.0.1.fasta008699-RA","FAM217B"," Protein FAM217B (Homo sapiens)"
"Peer2.0.1.fasta008698-RA","PPP1R3D"," Protein phosphatase 1 regulatory subunit 3D (Homo sapiens)"
"Peer2.0.1.fasta008700-RA","CDH26"," Cadherin-like protein 26 (Mus musculus)"
"Peer2.0.1.fasta008701-RA","COX4I1"," Cytochrome c oxidase subunit 4 isoform 1%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta008704-RA","TAF4"," Transcription initiation factor TFIID subunit 4 (Homo sapiens)"
"Peer2.0.1.fasta008702-RA","CDH4"," Cadherin-4 (Homo sapiens)"
"Peer2.0.1.fasta008703-RA","ACVR1B"," Activin receptor type-1B (Rattus norvegicus)"
"Peer2.0.1.fasta008685-RA","GNAS"," Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Mus musculus)"
"Peer2.0.1.fasta008683-RA","ADGRL3"," Adhesion G protein-coupled receptor L3 (Bos taurus)"
"Peer2.0.1.fasta008684-RA","GNAS"," Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Mus musculus)"
"Peer2.0.1.fasta008718-RA","GATA5"," Transcription factor GATA-5 (Mus musculus)"
"Peer2.0.1.fasta008711-RA","OSBPL2"," Oxysterol-binding protein-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta008710-RA","OSBPL2"," Oxysterol-binding protein-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta008720-RA","NTSR1"," Neurotensin receptor type 1 (Rattus norvegicus)"
"Peer2.0.1.fasta008719-RA","SLCO4A1"," Solute carrier organic anion transporter family member 4A1 (Rattus norvegicus)"
"Peer2.0.1.fasta008723-RA","TCFL5"," Transcription factor-like 5 protein (Homo sapiens)"
"Peer2.0.1.fasta008722-RA","OGFR"," Opioid growth factor receptor (Mus musculus)"
"Peer2.0.1.fasta008721-RA","MRGBP"," MRG/MORF4L-binding protein (Homo sapiens)"
"Peer2.0.1.fasta008713-RA","RPS21"," 40S ribosomal protein S21 (Sus scrofa)"
"Peer2.0.1.fasta008712-RA","LAMA5"," Laminin subunit alpha-5 (Mus musculus)"
"Peer2.0.1.fasta008715-RA","RBBP8NL"," RBBP8 N-terminal-like protein (Homo sapiens)"
"Peer2.0.1.fasta008714-RA","CABLES2"," CDK5 and ABL1 enzyme substrate 2 (Mus musculus)"
"Peer2.0.1.fasta008717-RA","RPL18"," 60S ribosomal protein L18 (Sus scrofa)"
"Peer2.0.1.fasta008716-RA","ESPNL"," Espin-like protein (Mus musculus)"
"Peer2.0.1.fasta008727-RA","BHLHE23"," Class E basic helix-loop-helix protein 23 (Mus musculus)"
"Peer2.0.1.fasta008728-RA","ATP5ME"," ATP synthase subunit e%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta008705-RA","LSM14B"," Protein LSM14 homolog B (Mus musculus)"
"Peer2.0.1.fasta008708-RA","MTG2"," Mitochondrial ribosome-associated GTPase 2 (Pongo abelii)"
"Peer2.0.1.fasta008709-RA","HRH3"," Histamine H3 receptor (Cavia porcellus)"
"Peer2.0.1.fasta008707-RA","SS18L1"," Calcium-responsive transcription coactivator (Rattus norvegicus)"
"Peer2.0.1.fasta008706-RA","PSMA7"," Proteasome subunit alpha type-7 (Rattus norvegicus)"
"Peer2.0.1.fasta008734-RA","CHRNA4"," Neuronal acetylcholine receptor subunit alpha-4 (Rattus norvegicus)"
"Peer2.0.1.fasta008733-RA","COL20A1"," Collagen alpha-1(XX) chain (Mus musculus)"
"Peer2.0.1.fasta008725-RA","GID8"," Glucose-induced degradation protein 8 homolog (Mus musculus)"
"Peer2.0.1.fasta008724-RA","DIDO1"," Death-inducer obliterator 1 (Mus musculus)"
"Peer2.0.1.fasta008726-RA","SLC17A9"," Solute carrier family 17 member 9 (Mus musculus)"
"Peer2.0.1.fasta008740-RA","FNDC11"," Fibronectin type III domain-containing protein 11 (Mus musculus)"
"Peer2.0.1.fasta008741-RA","HELZ2"," Helicase with zinc finger domain 2 (Mus musculus)"
"Peer2.0.1.fasta008742-RA","GMEB2"," Glucocorticoid modulatory element-binding protein 2 (Homo sapiens)"
"Peer2.0.1.fasta008739-RA","SRMS"," Tyrosine-protein kinase Srms (Mus musculus)"
"Peer2.0.1.fasta008738-RA","PTK6"," Protein-tyrosine kinase 6 (Mus musculus)"
"Peer2.0.1.fasta008732-RA","ARFGAP1"," ADP-ribosylation factor GTPase-activating protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta008729-RA","YTHDF1"," YTH domain-containing family protein 1 (Mus musculus)"
"Peer2.0.1.fasta008730-RA","BIRC7"," Baculoviral IAP repeat-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta008731-RA","NKAIN4"," Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4 (Mus musculus)"
"Peer2.0.1.fasta008751-RA","ZBTB46"," Zinc finger and BTB domain-containing protein 46 (Mus musculus)"
"Peer2.0.1.fasta008746-RA","ZGPAT"," Zinc finger CCCH-type with G patch domain-containing protein (Mus musculus)"
"Peer2.0.1.fasta008749-RA","LIME1"," Lck-interacting transmembrane adapter 1 (Mus musculus)"
"Peer2.0.1.fasta008750-RA","SLC2A4RG"," SLC2A4 regulator (Homo sapiens)"
"Peer2.0.1.fasta008736-RA","EEF1A2"," Elongation factor 1-alpha 2 (Mus musculus)"
"Peer2.0.1.fasta008735-RA","KCNQ2"," Potassium voltage-gated channel subfamily KQT member 2 (Rattus norvegicus)"
"Peer2.0.1.fasta008737-RA","PPDPF"," Pancreatic progenitor cell differentiation and proliferation factor (Rattus norvegicus)"
"Peer2.0.1.fasta008754-RA","DNAJC5"," DnaJ homolog subfamily C member 5 (Rattus norvegicus)"
"Peer2.0.1.fasta008752-RA","ABHD16B"," Protein ABHD16B (Rattus norvegicus)"
"Peer2.0.1.fasta008753-RA","TPD52L2"," Tumor protein D54 (Rattus norvegicus)"
"Peer2.0.1.fasta008756-RA","ZNF512B"," Zinc finger protein 512B (Homo sapiens)"
"Peer2.0.1.fasta008755-RA","UCKL1"," Uridine-cytidine kinase-like 1 (Homo sapiens)"
"Peer2.0.1.fasta008757-RA","SAMD10"," Sterile alpha motif domain-containing protein 10 (Mus musculus)"
"Peer2.0.1.fasta008759-RA","GM29797"," Uncharacterized protein C20orf204 homolog (Mus musculus)"
"Peer2.0.1.fasta008765-RA","OPRL1"," Nociceptin receptor (Homo sapiens)"
"Peer2.0.1.fasta008763-RA","RAB39B"," Ras-related protein Rab-39B (Bos taurus)"
"Peer2.0.1.fasta008758-RA","PRPF6"," Pre-mRNA-processing factor 6 (Bos taurus)"
"Peer2.0.1.fasta008760-RA","SOX18"," Transcription factor SOX-18 (Mus musculus)"
"Peer2.0.1.fasta008761-RA","TCEA2"," Transcription elongation factor A protein 2 (Rattus norvegicus)"
"Peer2.0.1.fasta008762-RA","RGS19"," Regulator of G-protein signaling 19 (Rattus norvegicus)"
"Peer2.0.1.fasta008764-RA","LKAAEAR1"," Protein LKAAEAR1 (Homo sapiens)"
"Peer2.0.1.fasta008766-RA","MYT1"," Myelin transcription factor 1 (Mus musculus)"
"Peer2.0.1.fasta008767-RA","PCMTD2"," Protein-L-isoaspartate O-methyltransferase domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta008745-RA","ARFRP1"," ADP-ribosylation factor-related protein 1 (Mus musculus)"
"Peer2.0.1.fasta008744-RA","RTEL1"," Regulator of telomere elongation helicase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta008743-RA","STMN3"," Stathmin-3 (Rattus norvegicus)"
"Peer2.0.1.fasta008748-RA","SI"," Sucrase-isomaltase%2C intestinal (Homo sapiens)"
"Peer2.0.1.fasta008747-RA",NA,NA
"Peer2.0.1.fasta011661-RA","VCAN"," Versican core protein (Homo sapiens)"
"Peer2.0.1.fasta011662-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta011663-RA","SSXA1"," Protein SSXA1 (Mus musculus)"
"Peer2.0.1.fasta011664-RA","BBS4"," Bardet-Biedl syndrome 4 protein homolog (Bos taurus)"
"Peer2.0.1.fasta011665-RA","PRKAG3"," 5'-AMP-activated protein kinase subunit gamma-3 (Mus musculus)"
"Peer2.0.1.fasta011666-RA","LIMA1"," LIM domain and actin-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta011667-RA","ZNF182"," Zinc finger protein 182 (Homo sapiens)"
"Peer2.0.1.fasta011668-RA","SPACA5"," Sperm acrosome-associated protein 5 (Mus musculus)"
"Peer2.0.1.fasta011669-RA","ZNF81"," Zinc finger protein 81 (Homo sapiens)"
"Peer2.0.1.fasta011670-RA","UXT"," Protein UXT (Rattus norvegicus)"
"Peer2.0.1.fasta011671-RA","ELK1"," ETS domain-containing protein Elk-1 (Mus musculus)"
"Peer2.0.1.fasta011672-RA","CFP"," Properdin (Mus musculus)"
"Peer2.0.1.fasta011680-RA","TFRC"," Transferrin receptor protein 1 (Cricetulus griseus)"
"Peer2.0.1.fasta011678-RA","ERH"," Enhancer of rudimentary homolog (Bos taurus)"
"Peer2.0.1.fasta011679-RA","RNF43"," E3 ubiquitin-protein ligase RNF43 (Mus musculus)"
"Peer2.0.1.fasta011677-RA","ARAF"," Serine/threonine-protein kinase A-Raf (Sus scrofa)"
"Peer2.0.1.fasta011676-RA","SYN1"," Synapsin-1 (Mus musculus)"
"Peer2.0.1.fasta011674-RA","SYN1"," Synapsin-1 (Mus musculus)"
"Peer2.0.1.fasta011675-RA","TIMP1"," Metalloproteinase inhibitor 1 (Rattus norvegicus)"
"Peer2.0.1.fasta011673-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011685-RA","ECHDC2"," Enoyl-CoA hydratase domain-containing protein 2%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta011686-RA","RGN"," Regucalcin (Mus musculus)"
"Peer2.0.1.fasta011687-RA","JADE3"," Protein Jade-3 (Mus musculus)"
"Peer2.0.1.fasta011688-RA","RP2"," Protein XRP2 (Mus musculus)"
"Peer2.0.1.fasta011690-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta011689-RA","PRELID2"," PRELI domain-containing protein 2 (Mus musculus)"
"Peer2.0.1.fasta011691-RA","SLC9A7"," Sodium/hydrogen exchanger 7 (Mus musculus)"
"Peer2.0.1.fasta011692-RA","SLC9A7"," Sodium/hydrogen exchanger 7 (Mus musculus)"
"Peer2.0.1.fasta011693-RA","CHST7"," Carbohydrate sulfotransferase 7 (Rattus norvegicus)"
"Peer2.0.1.fasta011694-RA","KRBOX4"," KRAB domain-containing protein 4 (Homo sapiens)"
"Peer2.0.1.fasta011695-RA","RPS29"," 40S ribosomal protein S29 (Pongo abelii)"
"Peer2.0.1.fasta011682-RA","CDK16"," Cyclin-dependent kinase 16 (Rattus norvegicus)"
"Peer2.0.1.fasta011684-RA","RBM10"," RNA-binding protein 10 (Homo sapiens)"
"Peer2.0.1.fasta011683-RA","UBA1"," Ubiquitin-like modifier-activating enzyme 1 (Rattus norvegicus)"
"Peer2.0.1.fasta011681-RA","USP11"," Ubiquitin carboxyl-terminal hydrolase 11 (Rattus norvegicus)"
"Peer2.0.1.fasta011696-RA","MFF"," Mitochondrial fission factor (Mus musculus)"
"Peer2.0.1.fasta011697-RA","SUMO4"," Small ubiquitin-related modifier 4 (Sus scrofa)"
"Peer2.0.1.fasta011698-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011699-RA","RPLP2"," 60S acidic ribosomal protein P2 (Equus caballus)"
"Peer2.0.1.fasta011701-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011700-RA","PLXNA4"," Plexin-A4 (Homo sapiens)"
"Peer2.0.1.fasta011702-RA","DIPK2B"," Divergent protein kinase domain 2B (Mus musculus)"
"Peer2.0.1.fasta011703-RA","DIPK2B"," Divergent protein kinase domain 2B (Mus musculus)"
"Peer2.0.1.fasta011706-RA","KDM6A"," Lysine-specific demethylase 6A (Homo sapiens)"
"Peer2.0.1.fasta011708-RA","DUSP21"," Dual specificity phosphatase 21 (Mus musculus)"
"Peer2.0.1.fasta011707-RA","ATP5MPL"," ATP synthase subunit ATP5MPL%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta011705-RA","KDM6A"," Lysine-specific demethylase 6A (Homo sapiens)"
"Peer2.0.1.fasta011704-RA","KDM6A"," Lysine-specific demethylase 6A (Homo sapiens)"
"Peer2.0.1.fasta011710-RA","VPS72"," Vacuolar protein sorting-associated protein 72 homolog (Mus musculus)"
"Peer2.0.1.fasta011709-RA","UBE2V2"," Ubiquitin-conjugating enzyme E2 variant 2 (Mus musculus)"
"Peer2.0.1.fasta011711-RA","MORF4L2"," Mortality factor 4-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta011712-RA","FUNDC1"," FUN14 domain-containing protein 1 (Bos taurus)"
"Peer2.0.1.fasta011714-RA","LRP1"," Prolow-density lipoprotein receptor-related protein 1 (Mus musculus)"
"Peer2.0.1.fasta011713-RA","TMEM18"," Transmembrane protein 18 (Bos taurus)"
"Peer2.0.1.fasta011715-RA","TATDN2"," Putative deoxyribonuclease TATDN2 (Homo sapiens)"
"Peer2.0.1.fasta011716-RA","EFHC2"," EF-hand domain-containing family member C2 (Mus musculus)"
"Peer2.0.1.fasta011717-RA","NDP"," Norrin (Bos taurus)"
"Peer2.0.1.fasta011719-RA","MAOB"," Amine oxidase [flavin-containing] B (Mus musculus)"
"Peer2.0.1.fasta011718-RA","MAOB"," Amine oxidase [flavin-containing] B (Mus musculus)"
"Peer2.0.1.fasta011720-RA","MAOA"," Amine oxidase [flavin-containing] A (Mus musculus)"
"Peer2.0.1.fasta011721-RA","TMA7"," Translation machinery-associated protein 7 (Bos taurus)"
"Peer2.0.1.fasta011722-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011723-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011724-RA","SNRPG"," Small nuclear ribonucleoprotein G (Homo sapiens)"
"Peer2.0.1.fasta011726-RA","PPP1R2C"," Protein phosphatase inhibitor 2 family member C (Macaca fascicularis)"
"Peer2.0.1.fasta011725-RA","UTP14A"," U3 small nucleolar RNA-associated protein 14 homolog A (Mus musculus)"
"Peer2.0.1.fasta011727-RA","PHF8"," Histone lysine demethylase PHF8 (Homo sapiens)"
"Peer2.0.1.fasta011728-RA","BAP18"," Chromatin complexes subunit BAP18 (Homo sapiens)"
"Peer2.0.1.fasta011729-RA","SCARA5"," Scavenger receptor class A member 5 (Bos taurus)"
"Peer2.0.1.fasta011735-RA","CASK"," Peripheral plasma membrane protein CASK (Mus musculus)"
"Peer2.0.1.fasta011736-RA","NYX"," Nyctalopin (Mus musculus)"
"Peer2.0.1.fasta011730-RA","GPR82"," Probable G-protein coupled receptor 82 (Mus musculus)"
"Peer2.0.1.fasta011731-RA","BEST1"," Bestrophin-1 (Mus musculus)"
"Peer2.0.1.fasta011732-RA","GPR34"," Probable G-protein coupled receptor 34 (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta011733-RA","GPR34"," Probable G-protein coupled receptor 34 (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta011734-RA","CASK"," Peripheral plasma membrane protein CASK (Mus musculus)"
"Peer2.0.1.fasta011738-RA","USP9X"," Probable ubiquitin carboxyl-terminal hydrolase FAF-X (Homo sapiens)"
"Peer2.0.1.fasta011739-RA","USP9X"," Probable ubiquitin carboxyl-terminal hydrolase FAF-X (Homo sapiens)"
"Peer2.0.1.fasta011740-RA","USP9X"," Probable ubiquitin carboxyl-terminal hydrolase FAF-X (Homo sapiens)"
"Peer2.0.1.fasta011741-RA","NUBP1"," Cytosolic Fe-S cluster assembly factor NUBP1 (Rattus norvegicus)"
"Peer2.0.1.fasta011742-RA","UBE2Q2"," Ubiquitin-conjugating enzyme E2 Q2 (Bos taurus)"
"Peer2.0.1.fasta011743-RA","EED"," Polycomb protein EED (Mus musculus)"
"Peer2.0.1.fasta011737-RA","DDX3X"," ATP-dependent RNA helicase DDX3X (Mus musculus)"
"Peer2.0.1.fasta011748-RA","MFSD6"," Major facilitator superfamily domain-containing protein 6 (Mus musculus)"
"Peer2.0.1.fasta011749-RA","BCOR"," BCL-6 corepressor (Mus musculus)"
"Peer2.0.1.fasta011744-RA","MED14"," Mediator of RNA polymerase II transcription subunit 14 (Mus musculus)"
"Peer2.0.1.fasta011745-RA","UNCHARACTERIZED PROTEIN CXORF38 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta011747-RA","ATP6AP2"," Renin receptor (Bos taurus)"
"Peer2.0.1.fasta011746-RA","MITOCHONDRIAL PYRUVATE CARRIER-LIKE PROTEIN (BOS TAURUS)",NA
"Peer2.0.1.fasta011750-RA","RPL37A"," 60S ribosomal protein L37a (Homo sapiens)"
"Peer2.0.1.fasta011751-RA","PPIA"," Peptidyl-prolyl cis-trans isomerase A (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta011752-RA","MID1IP1"," Mid1-interacting protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta011753-RA","TSPAN7"," Tetraspanin-7 (Mus musculus)"
"Peer2.0.1.fasta011755-RA","FTL"," Ferritin light chain (Canis lupus familiaris)"
"Peer2.0.1.fasta011754-RA","TSPAN7"," Tetraspanin-7 (Mus musculus)"
"Peer2.0.1.fasta011757-RA","RNF17"," RING finger protein 17 (Macaca fascicularis)"
"Peer2.0.1.fasta011756-RA","OTC"," Ornithine carbamoyltransferase%2C mitochondrial (Ovis aries)"
"Peer2.0.1.fasta011758-RA","RPGR"," X-linked retinitis pigmentosa GTPase regulator (Mus musculus)"
"Peer2.0.1.fasta011759-RA","SRPX"," Sushi-repeat-containing protein SRPX (Mus musculus)"
"Peer2.0.1.fasta011760-RA","SYTL5"," Synaptotagmin-like protein 5 (Mus musculus)"
"Peer2.0.1.fasta011762-RA","H2AP"," Huntingtin-interacting protein M (Mus musculus)"
"Peer2.0.1.fasta011761-RA","H2AB1"," Histone H2A-Bbd type 1 (Mus musculus)"
"Peer2.0.1.fasta011763-RA","DYNLT3"," Dynein light chain Tctex-type 3 (Pongo abelii)"
"Peer2.0.1.fasta011768-RA","LANCL3"," LanC-like protein 3 (Mus musculus)"
"Peer2.0.1.fasta011767-RA","XK"," Membrane transport protein XK (Mus musculus)"
"Peer2.0.1.fasta011766-RA","H2AB1"," Histone H2A-Bbd type 1 (Mus musculus)"
"Peer2.0.1.fasta011764-RA","CYBB"," Cytochrome b-245 heavy chain (Mus musculus)"
